Authors,Year,Title,Abstract,Journal,Volume,Issue,Pages,DOI
"L. Prut, G. Prenosil, S. Willadt, K. Vogt, J. M. Fritschy and F. Crestani",2010,A reduction in hippocampal GABAA receptor alpha5 subunits disrupts the memory for location of objects in mice,"The memory for location of objects, which binds information about objects to discrete positions or spatial contexts of occurrence, is a form of episodic memory particularly sensitive to hippocampal damage. Its early decline is symptomatic for elderly dementia. Substances that selectively reduce alpha5-GABA(A) receptor function are currently developed as potential cognition enhancers for Alzheimer's syndrome and other dementia, consistent with genetic studies implicating these receptors that are highly expressed in hippocampus in learning performance. Here we explored the consequences of reduced GABA(A)alpha5-subunit contents, as occurring in alpha5(H105R) knock-in mice, on the memory for location of objects. This required the behavioral characterization of alpha5(H105R) and wild-type animals in various tasks examining learning and memory retrieval strategies for objects, locations, contexts and their combinations. In mutants, decreased amounts of alpha5-subunits and retained long-term potentiation in hippocampus were confirmed. They exhibited hyperactivity with conserved circadian rhythm in familiar actimeters, and normal exploration and emotional reactivity in novel places, allocentric spatial guidance, and motor pattern learning acquisition, inhibition and flexibility in T- and eight-arm mazes. Processing of object, position and context memories and object-guided response learning were spared. Genotype difference in object-in-place memory retrieval and in encoding and response learning strategies for object-location combinations manifested as a bias favoring object-based recognition and guidance strategies over spatial processing of objects in the mutants. These findings identify in alpha5(H105R) mice a behavioral-cognitive phenotype affecting basal locomotion and the memory for location of objects indicative of hippocampal dysfunction resulting from moderately decreased alpha5-subunit contents.","Genes, brain, and behavior",9,5,478-488,10.1111/j.1601-183X.2010.00575.x
"R. Rai, P. Mitchell and J. Faelling",2012,The illusion-of-transparency and episodic memory: Are people egocentric or do people think that lies are easy to detect?,"The illusion-of-transparency seems like an egocentric bias, in which people believe that their inner feelings, thoughts and perspectives are more apparent to others than they actually are. In Experiment 1, participants read out true and false episodic memories to an audience. Participants over-estimated the number of people who would think that they were the liar, and they overestimated how many would correctly identify the liar. Experiment 2 found that with lessened task demands, and by using a scale of doubt, participants distinguished lies from truthful statements (albeit with a degree of error). Over the two experiments, results indicated that people have some ability to distinguish lies from truth (in illusion-of-transparency tasks), although people often overestimate this ability, and participants sometimes think their own lies are easier to detect than is really the case. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Psychological Studies,57,1,58-66,
"R. M. Rayburn-Reeves, M. K. Moore, T. E. Smith, D. A. Crafton and K. L. Marden",2018,Spatial midsession reversal learning in rats: Effects of egocentric Cue use and memory,"The midsession reversal task has been used to investigate behavioral flexibility and cue use in non-human animals, with results indicating differences in the degree of control by environmental cues across species. For example, time-based control has been found in rats only when tested in a T-maze apparatus and under specific conditions in which position and orientation (i.e., egocentric) cues during the intertrial interval could not be used to aid performance. Other research in an operant setting has shown that rats often produce minimal errors around the reversal location, demonstrating response patterns similar to patterns exhibited by humans and primates in this task. The current study aimed to reduce, but not eliminate, the ability for rats to utilize egocentric cues by placing the response levers on the opposite wall of the chamber in relation to the pellet dispenser. Results showed that rats made minimal errors prior to the reversal, suggesting time-based cues were not controlling responses, and that they switched to the second correct stimulus within a few trials after the reversal event. Video recordings also revealed highly structured patterns of behavior by the majority of rats, which often differed depending on which response was reinforced. We interpret these findings as evidence that rats are adept at utilizing their own egocentric cues and that these cues, along with memory for the recent response-reinforcement contingencies, aid in maximizing reinforcement over the session.",Behav Processes,152,,10-17,
"V. Redila, C. Kinzel, Y. S. Jo, C. B. Puryear and S. J. Y. Mizumori",2015,A role for the lateral dorsal tegmentum in memory and decision neural circuitry,"A role for the hippocampus in memory is clear, although the mechanism for its contribution remains a matter of debate. Converging evidence suggests that hippocampus evaluates the extent to which context-defining features of events occur as expected. The consequence of mismatches, or prediction error, signals from hippocampus is discussed in terms of its impact on neural circuitry that evaluates the significance of prediction errors: Ventral tegmental area (VTA) dopamine cells burst fire to rewards or cues that predict rewards (Schultz, Dayan, & Montague, 1997). Although the lateral dorsal tegmentum (LDTg) importantly controls dopamine cell burst firing (Lodge & Grace, 2006) the behavioral significance of the LDTg control is not known. Therefore, we evaluated LDTg functional activity as rats performed a spatial memory task that generates task-dependent reward codes in VTA (Jo, Lee, & Mizumori, 2013; Puryear, Kim, & Mizumori, 2010) and another VTA afferent, the pedunculopontine nucleus (PPTg, Norton, Jo, Clark, Taylor, & Mizumori, 2011). Reversible inactivation of the LDTg significantly impaired choice accuracy. LDTg neurons coded primarily egocentric information in the form of movement velocity, turning behaviors, and behaviors leading up to expected reward locations. A subset of the velocity-tuned LDTg cells also showed high frequency bursts shortly before or after reward encounters, after which they showed tonic elevated firing during consumption of small, but not large, rewards. Cells that fired before reward encounters showed stronger correlations with velocity as rats moved toward, rather than away from, rewarded sites. LDTg neural activity was more strongly regulated by egocentric behaviors than that observed for PPTg or VTA cells that were recorded by Puryear et al. and Norton et al. While PPTg activity was uniquely sensitive to ongoing sensory input, all three regions encoded reward magnitude (although in different ways), reward expectation, and reward encounters. Only VTA encoded reward prediction errors. LDTg may inform VTA about learned goal-directed movement that reflects the current motivational state, and this in turn may guide VTA determination of expected subjective goal values. When combined it is clear the LDTg and PPTg provide only a portion of the information that dopamine cells need to assess the value of prediction errors, a process that is essential to future adaptive decisions and switches of cognitive (i.e. memorial) strategies and behavioral responses.",Neurobiology of Learning and Memory,117,,93-108,10.1016/j.nlm.2014.05.009
"C. Repetto, S. Serino, M. Macedonia and G. Riva",2016,Virtual reality as an embodied tool to enhance episodic memory in elderly,"This article discusses the the use of virtual reality (VR) as an innovative tool to support episodic memory in older adults. Virtual reality allows users to create, explore and interact within environments that are perceived as near to reality. Typically, users entering a VR lab feel as being a part of this world and behave as if they were in the real world. Specifically, even if users do not always move their bodies in the real space, users have the subjective perception of being “in action.” Three main features that VR implements may have an impact on episodic memory in elderly: First VR allows to experience from an egocentric point of view. Second, VR allows active navigation while the user actively explores the environment by manipulating keyboards, joysticks, or controllers. Third, VR provides environmental enrichment by using flexible scenarios. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",Frontiers in Psychology,7,,4,10.3389/fpsyg.2016.01839
"F. Ribordy, A. Jabes, P. Banta Lavenex and P. Lavenex",2013,Development of allocentric spatial memory abilities in children from 18 months to 5 years of age,"Episodic memories for autobiographical events that happen in unique spatiotemporal contexts are central to defining who we are. Yet, before 2 years of age, children are unable to form or store episodic memories for recall later in life, a phenomenon known as infantile amnesia. Here, we studied the development of allocentric spatial memory, a fundamental component of episodic memory, in two versions of a real-world memory task requiring 18 month- to 5-year-old children to search for rewards hidden beneath cups distributed in an open-field arena. Whereas children 25-42-months-old were not capable of discriminating three reward locations among 18 possible locations in absence of local cues marking these locations, children older than 43 months found the reward locations reliably. These results support previous findings suggesting that allocentric spatial memory, if present, is only rudimentary in children under 3.5 years of age. However, when tested with only one reward location among four possible locations, children 25-39-months-old found the reward reliably in absence of local cues, whereas 18-23-month-olds did not. Our findings thus show that the ability to form a basic allocentric representation of the environment is present by 2 years of age, and its emergence coincides temporally with the offset of infantile amnesia. However, the ability of children to distinguish and remember closely related spatial locations improves from 2 to 3.5 years of age, a developmental period marked by persistent deficits in long-term episodic memory known as childhood amnesia. These findings support the hypothesis that the differential maturation of distinct hippocampal circuits contributes to the emergence of specific memory processes during early childhood.",Cogn Psychol,66,1,1-29,10.1016/j.cogpsych.2012.08.001
"F. Ribordy Lambert, P. Lavenex and P. Banta Lavenex",2017,The when and the where of single-trial allocentric spatial memory performance in young children: Insights into the development of episodic memory,"Allocentric spatial memory, where with respect to the surrounding environment, is one of the three fundamental components of episodic memory: what, where, when. Whereas basic allocentric spatial memory abilities are reliably observed in children after 2 years of age, coinciding with the offset of infantile amnesia, the resolution of allocentric spatial memory acquired over repeated trials improves from 2 to 4 years of age. Here, we first show that single-trial allocentric spatial memory performance improves in children from 3.5 to 7 years of age, during the typical period of childhood amnesia. Second, we show that large individual variation exists in children's performance at this age. Third, and most importantly, we show that improvements in single-trial allocentric spatial memory performance are due to an increasing ability to spatially and temporally separate locations and events. Such improvements in spatial and temporal processing abilities may contribute to the gradual offset of childhood amnesia.",Developmental psychobiology,59,2,185-196,
H. J. Rice and D. C. Rubin,2009,I can see it both ways: First- and third-person visual perspectives at retrieval,"The number of studies examining visual perspective during retrieval has recently grown. However, the way in which perspective has been conceptualized differs across studies. Some studies have suggested perspective is experienced as either a first-person or a third-person perspective, whereas others have suggested both perspectives can be experienced during a single retrieval attempt. This aspect of perspective was examined across three studies, which used different measurement techniques commonly used in studies of perspective. Results suggest that individuals can experience more than one perspective when recalling events. Furthermore, the experience of the two perspectives correlated differentially with ratings of vividness, suggesting that the two perspectives should not be considered in opposition of one another. We also found evidence of a gender effect in the experience of perspective, with females experiencing third-person perspectives more often than males. Future studies should allow for the experience of more than one perspective during retrieval. (C) 2009 Elsevier Inc. All rights reserved.",Consciousness and Cognition,18,4,877-890,10.1016/j.concog.2009.07.004
H. J. Rice and D. C. Rubin,2011,Remembering from any angle: the flexibility of visual perspective during retrieval,"When recalling autobiographical memories, individuals often experience visual images associated with the event. These images can be constructed from two different perspectives: first person, in which the event is visualized from the viewpoint experienced at encoding, or third person, in which the event is visualized from an external vantage point. Using a novel technique to measure visual perspective, we examined where the external vantage point is situated in third-person images. Individuals in two studies were asked to recall either 10 or 15 events from their lives and describe the perspectives they experienced. Wide variation in spatial locations was observed within third-person perspectives, with the location of these perspectives relating to the event being recalled. Results suggest remembering from an external viewpoint may be more common than previous studies have demonstrated.",Consciousness and cognition,20,3,568-577,10.1016/j.concog.2010.10.013
E. L. Rich and M. Shapiro,2009,Rat prefrontal cortical neurons selectively code strategy switches,"Multiple memory systems are distinguished by different sets of neuronal circuits and operating principles optimized to solve different problems across mammalian species (Tulving and Schacter, 1994). When a rat selects an arm in a plus maze, for example, the choice can be guided by distinct neural systems (White and Wise, 1999) that encode different relationships among perceived stimuli, actions, and reward. Thus, egocentric or stimulus-response associations require striatal circuits, whereas spatial or episodic learning requires hippocampal circuits (Packard et al., 1989). Although these memory systems function in parallel (Packard and McGaugh, 1996), they can also interact competitively or synergistically (Kim and Ragozzino, 2005). The neuronal mechanisms that coordinate these multiple memory systems are not fully known, but converging evidence suggests that the prefrontal cortex (PFC) is central. The PFC is crucial for abstract, rule-guided behavior in primates and for switching rapidly between memory strategies in rats. We now report that rat medial PFC neuronal activity predicts switching between hippocampus- and caudate-dependent memory strategies. Prelimbic (PL) and infralimbic (IL) neuronal activity changed as rats switched memory strategies even as the rats performed identical behaviors but did not change when rats learned new contingencies using the same strategy. PL dynamics anticipated learning performance whereas IL lagged, suggesting that the two regions help initiate and establish new strategies, respectively. These neuronal dynamics suggest that the PFC contributes to the coordination of memory strategies by integrating the predictive relationships among stimuli, actions, and reward.",J Neurosci,29,22,7208-7219,10.1523/JNEUROSCI.6068-08.2009
G. Riva,2014,Out of my real body: Cognitive neuroscience meets eating disorders,"Clinical psychology is starting to explain eating disorders (ED) as the outcome of the interaction among cognitive, socio-emotional and interpersonal elements. In particular two influential models—the revised cognitive-interpersonal maintenance model and the transdiagnostic cognitive behavioral theory—identified possible key predisposing and maintaining factors. These models, even if very influential and able to provide clear suggestions for therapy, still are not able to provide answers to several critical questions: why do not all the individuals with obsessive compulsive features, anxious avoidance or with a dysfunctional scheme for self-evaluation develop an ED? What is the role of the body experience in the etiology of these disorders? In this paper we suggest that the path to a meaningful answer requires the integration of these models with the recent outcomes of cognitive neuroscience. First, our bodily representations are not just a way to map an external space but the main tool we use to generate meaning, organize our experience, and shape our social identity. In particular, we will argue that our bodily experience evolves over time by integrating six different representations of the body characterized by specific pathologies—body schema (phantom limb), spatial body (unilateral hemi-neglect), active body (alien hand syndrome), personal body (autoscopic phenomena), objectified body (xenomelia) and body image (body dysmorphia). Second, these representations include either schematic (allocentric) or perceptual (egocentric) contents that interact within the working memory of the individual through the alignment between the retrieved contents from long-term memory and the ongoing egocentric contents from perception. In this view EDs may be the outcome of an impairment in the ability of updating a negative body representation stored in autobiographical memory (allocentric) with real-time sensorimotor and proprioceptive data (egocentric). (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Frontiers in Human Neuroscience,8,,20,10.3389/fnhum.2014.00236
G. Riva,2016,Neurobiology of anorexia nervosa: Serotonin dysfunctions link self-starvation with body image disturbances through an impaired body memory,"The etiology of anorexia nervosa (AN) is still unclear, despite that it is a critical and potentially mortal illness. A recent neurobiological model considers AN as the outcome of dysfunctions in the neuronal processes related to appetite and emotionality (Kaye et al., 2009, 2013). However, this model still is not able to answer a critical question: What is behind body image disturbances (BIDs) in AN? The article starts its analysis from reviewing some of the studies exploring the effects of the serotonin systems in memory (episodic, working, and spatial) and its dysfunctions. The review suggests that serotonin disturbances may: (a) facilitate the encoding of third person (allocentric) episodic memories; (b) facilitate the consolidation of emotional episodic memories (e.g., teasing), if preceded by repeated stress; (c) reduce voluntary inhibition of mnestic contents; (d) impair allocentric spatial memory. If we discuss these results within the interpretative frame suggested by the “Allocentric Lock Hypothesis” (Riva, 2012, 2014), we can hypothesize that altered serotoninergic activity in AN patients: (i) improves their ability to store and consolidate negative autobiographical memories, including those of their body, in allocentric perspective; (ii) impairs their ability to trigger voluntary inhibition of the previously stored negative memory of the body; (iii) impairs their capacity to retrieve/update allocentric information. Taken together, these points suggest a possible link between serotonin dysfunctions, memory impairments and BIDs: the impossibility of updating a disturbed body memory using real time experiential data—I’m locked to a wrong body stored in long term memory—pushes AN patients to control body weight and shape even when underweight. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Frontiers in Human Neuroscience,10,,10,10.3389/fnhum.2016.00600
G. Riva and A. Dakanalis,2018,Altered Processing and Integration of Multisensory Bodily Representations and Signals in Eating Disorders: A Possible Path Toward the Understanding of Their Underlying Causes,"According to the Diagnostic and Statistical Manual of Mental Disorders (DSM V) eating problems are the clinical core of eating disorders (EDs). However, the importance of shape and weight overvaluation symptoms in these disorders underlines the critical role of the experience of the body in the etiology of EDs. This article suggests that the transdiagnostic centrality of these symptoms in individuals with EDs may reflect a deficit in the processing and integration of multisensory bodily representations and signals. Multisensory body integration is a critical cognitive and perceptual process, allowing the individual to protect and extend her/his boundaries at both the homeostatic and psychological levels. To achieve this goal the brain integrates sensory data arriving from real-time multiple sensory modalities and internal bodily information with predictions made using the stored information about the body from conceptual, perceptual, and episodic memory. In this view the emotional, visual, tactile, proprioceptive and interoceptive deficits reported by many authors in individuals with EDs may reflect a broader impairment in multisensory body integration that affects the individual's abilities: (a) to identify the relevant interoceptive signals that predict potential pleasant (or aversive) consequences; and (b) to modify/correct the autobiographical allocentric (observer view) memories of body related events (self-objectified memories). Based on this view, the article also proposes a strategy, based on new technologies (i.e., virtual reality and brain/body stimulation), for using crossmodal associations to reactivate and correct the multisensory body integration processes.",Frontiers in human neuroscience,12,,49,10.3389/fnhum.2018.00049
G. Riva and S. Gaudio,2012,Allocentric lock in anorexia nervosa: New evidences from neuroimaging studies,Individuals with anorexia nervosa (AN) have a disturbance in the way in which their body is experienced and tend to evaluate negatively their own body and body parts. It is controversial whether these symptoms are secondary to dysfunctions in the neuronal processes related to appetite and emotional regulation or reflect a primary disturbance in the way the body is experienced and remembered. According to the Allocentric Lock Hypothesis--ALH (http://dx.doi.org/10.1016/j.mehy.2011.10.039) individuals with AN may be locked to an allocentric (observer view) negative memory of the body that is no more updated by contrasting egocentric representations driven by perception. Recent neuroimaging studies are showing several structural and functional alterations in frame- and memory-related body-image-processing brain circuits that may support ALH.,Medical Hypotheses,79,1,113-117,10.1016/j.mehy.2012.03.036
D. J. Robinaugh and R. J. McNally,2010,Autobiographical memory for shame or guilt provoking events: association with psychological symptoms,"The diagnostic criteria for posttraumatic stress disorder (PTSD) specify that a qualifying traumatic stressor must incite extreme peritraumatic fear, horror, or helplessness. However, research suggests that events inciting guilt or shame may be associated with PTSD. We devised a web-based survey in which non-clinical participants identified an event associated with shame or guilt and completed questionnaire measures of shame, guilt, PTSD, and depression. In addition, we assessed characteristics of memory for the event, including visual perspective and the centrality of the memory to the participant's autobiographical narrative (CES). Shame predicted depression and PTSD symptoms. There was no association between guilt and psychological symptoms after controlling statistically for the effects of shame. CES predicted the severity of depression and PTSD symptoms. In addition, CES mediated the moderating effect of visual perspective on the relationship between emotional intensity and PTSD symptoms. Our results suggest shame is capable of eliciting the intrusive and distressing memories characteristic of PTSD. Furthermore, our results suggest aversive emotional events are associated with psychological distress when memory for those events becomes central to one's identity and autobiographical narrative.",Behaviour research and therapy,48,7,646-652,10.1016/j.brat.2010.03.017
J. A. Robinson and K. L. Swanson,1993,Field and observer modes of remembering,"Sampled personal memories from several life periods among 90 college students and assessed ability to change the initially reported perspective. Changing was easier for recent or vividly recalled events, harder for older and less vividly recalled events. Memory perspectives may differ in other aspects than their imagery. A 2nd study was conducted with 64 college students to determine whether affective experience is altered when perspectives are changed. The affect experienced decreased when shifting from a field to an observer perspective, but did not change with the converse shift. These studies provide further evidence that remembering is more than retrieval. The information that enters awareness is determined by the information sources in memory and the organizational scheme adopted for recollection. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",Memory,1,3,169-184,10.1080/09658219308258230
"R. A. P. Roche, M. A. Mangaoang, S. Commins and S. M. O'Mara",2005,Hippocampal contributions to neurocognitive mapping in humans: A new model,"The ability of an organism to develop, maintain, and act upon an abstracted internal representation of spatially extensive environments can provide an increased chance in ensuring that organism's survival. Here, we propose a neurocognitive model of spatial representation describing how several different processes interact and segregate the differing types of information used to produce a unified cognitive map. This model proposes that view-based egocentric and vestibulomotor translational information are functionally and anatomically separate, and that these parallel systems result in independent, but interacting, models within a neurocognitive map of space. In this context, we selectively review relevant portions of the large literature, addressing the establishment and operation of such spatial constructs in humans and the brain systems that underpin them, with particular reference to the hippocampal formation (HF). We present a reinterpretation of the types of knowledge used in the formation of this spatial construct, the processes that act upon this information, the nature of the final spatial representation, and describe how these universal concepts relate to the proposed model of spatial processing. The relevant experimental paradigms used to examine the neural basis of spatial representation and the main findings from previous research are also briefly presented. Finally, we detail a series of testable theoretical, behavioral, and anatomical predictions made by the model.",Hippocampus,15,5,622-641,10.1002/hipo.20084
"G. Rode, C. Pagliari, L. Huchon, Y. Rossetti and L. Pisella",2017,Semiology of neglect: An update,"Hemispatial neglect is a common disabling condition following brain damage to the right hemisphere. Generally, it involves behavioral bias directed ipsilaterally to the damaged hemisphere and loss of spatial awareness for the contralesional side. In this syndrome, several clinical subtypes were identified. The objective of this article is to provide a nosological analysis of the recent data from the literature on the different subtypes of neglect (visual, auditory, somatosensory, motor, egocentric, allocentric and representational neglect), associated ipsilesional and contralesional productive manifestations and their anatomical lesion correlates. These different anatomical-clinical subtypes can be associated or dissociated. They reflect the heterogeneity of this unilateral neglect syndrome that cannot be approached or interpreted in a single manner. We propose that these subtypes result from different underlying deficits: exogenous attentional deficit (visual, auditory neglect); representational deficit (personal neglect, representational neglect, hyperschematia); shift of the egocentric reference frame (egocentric neglect); attentional deficit between objects and within objects (allocentric neglect), endogenous attentional deficit (representational neglect) and transsaccadic working memory or spatial remapping deficit (ipsilesional productive manifestations). Taking into account the different facets of the unilateral neglect syndrome should promote the development of more targeted cognitive rehabilitation protocols.",Ann Phys Rehabil Med,60,3,177-185,10.1016/j.rehab.2016.03.003
S. L. Rogers and N. Fay,2016,Stick or Switch: A Selection Heuristic Predicts when People Take the Perspective of Others or Communicate Egocentrically,"This paper examines a cognitive mechanism that drives perspective-taking and egocentrism in interpersonal communication. Using a conceptual referential communication task, in which participants describe a range of abstract geometric shapes, Experiment 1 shows that perspective-taking and egocentric communication are frequent communication strategies. Experiment 2 tests a selection heuristic account of perspective-taking and egocentric communication. It uses participants' shape description ratings to predict their communication strategy. Participants' communication strategy was predicted by how informative they perceived the different shape descriptions to be. When participants' personal shape description was perceived to be more informative than their addressee's shape description, there was a strong bias to communicate egocentrically. By contrast, when their addressee's shape description was perceived to be more informative, there was a strong bias to take their addressee's perspective. When the shape descriptions were perceived to be equally informative, there was a moderate bias to communicate egocentrically. This simple, but powerful, selection heuristic may be critical to the cumulative cultural evolution of human communication systems, and cumulative cultural evolution more generally.",PLoS One,11,7,e0159570,10.1371/journal.pone.0159570
E. T. Rolls,1999,Spatial view cells and the representation of place in the primate hippocampus,"Discusses neurophysiological studies of how space is represented in the primate hippocampus and how this is related to memory and spatial functions of the hippocampus. Information represented in the primate hippocampus was analyzed by making recordings in monkeys actively walking. In a sample of 352 cells recorded, no place cells were found, but a considerable population of spatial view cells were found that tuned to respond when the monkey looked at small parts of the environment. Research has demonstrated: (1) these hippocampal neurons respond to a view of space, not to the monkey's location; (2) responses depend on where the monkey is looking; (3) responses in some cases (e.g., CA1 but not CA3) still occur if view details are obscured; (4) cells retain part of their space tuning even in darkness, for several minutes; and (5) spatial representation is allocentric. This representation of space by primate spatial view cells would be an appropriate part of a system involved in memories of particular episodes of where in an environment an object was seen. Spatial view cells (in conjunction with whole body motion cells in the primate hippocampus, and head direction cells in the primate presubiculum) would also be useful as a memory component in a spatial navigation system. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",Hippocampus,9,4,467-480,10.1002/(SICI)1098-1063(1999)9:4<467::AID-HIPO13>3.0.CO;2-F
"E. T. Rolls, J. Xiang and L. Franco",2005,"Object, Space, and Object-Space Representations in the Primate Hippocampus","Afundamental question about the function of the primate including human hippocampus is whether object as well as allocentric spatial information is represented. Recordings were made from single hippocampal formation neurons while macaques performed an object-place memory task that required the monkeys to learn associations between objects and where they were shown in a room. Some neurons (10%) responded differently to different objects independently of location; other neurons (13%) responded to the spatial view independently of which object was present at the location; and some neurons (12%) responded to a combination of a particular object and the place where it was shown in the room. These results show that there are separate as well as combined representations of objects and their locations in space in the primate hippocampus. This is a property required in an episodic memory system, for which associations between objects and the places where they are seen are prototypical. The results thus provide an important advance by showing that a requirement for a human episodic memory system, separate and combined neuronal representations of objects and where they are seen out there in the environment, is present in the primate hippocampus. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Journal of Neurophysiology,94,1,833-844,10.1152/jn.01063.2004
E. T. Rolls and J. Z. Xiang,2006,Spatial view cells in the primate hippocampus and memory recall,"Hippocampal spatial view neurons in primates provide allocentric representations of a view of space 'out there'. The responses depend on where the monkey is looking; and can be updated by idiothetic (self-motion) inputs provided by eye movements when the view is hidden. In a room-based object-place memory task, some hippocampal neurons respond to the objects shown, some to the places viewed, and some to combinations of the places viewed and the objects present in those locations. In an object-place recall task when the location in space at which an object has been seen is recalled by the presentation of the object, some primate hippocampal neurons maintain their responding to the object recall cue in a delay period without the object visible while the place is being recalled; and other neurons respond to the place being recalled. Other spatial view neurons form associations with the rewards present at particular locations in space. These findings, and computational models of the hippocampus, help to show how the primate including human hippocampus is involved in episodic memory.",Reviews in the neurosciences,17,1-2,175-200,
"L. Rondi-Reig, G. H. Petit, C. Tobin, S. Tonegawa, J. Mariani and A. Berthoz",2006,Impaired sequential egocentric and allocentric memories in forebrain-specific-NMDA receptor knock-out mice during a new task dissociating strategies of navigation,"The hippocampus is considered to play a role in allocentric but not in egocentric spatial learning. How does this view fit with the emerging evidence that the hippocampus and possibly related cortical areas are necessary for episodic-like memory, i.e., in all situations in which events need to be spatially or sequentially organized? Are NMDA receptor-dependent mechanisms crucial for the acquisition of spatiotemporal relationships? To address this issue, we used knock-out (KO) mice lacking hippocampal CA1 NMDA receptors and presenting a reduction of these receptors in the deep cortical layers (NR1-KO mice). A new task (the starmaze) was designed, allowing us to distinguish allocentric and sequential-egocentric memories. NR1-KO mice were impaired in acquiring both types of memory. Our findings suggest that memories composed of multiple spatiotemporal events require intact NMDA receptors-dependent mechanisms in CA1 and possibly in the deep cortical layers.",J Neurosci,26,15,4071-4081,10.1523/JNEUROSCI.3408-05.2006
"R. S. Rosenbaum, B. N. Cassidy and K. A. Herdman",2015,Patterns of preserved and impaired spatial memory in a case of developmental amnesia,"The hippocampus is believed to have evolved to support allocentric spatial representations of environments as well as the details of personal episodes that occur within them, whereas other brain structures are believed to support complementary egocentric spatial representations. Studies of patients with adult-onset lesions lend support to these distinctions for newly encountered places but suggest that with time and/or experience, schematic aspects of environments can exist independent of the hippocampus. Less clear is the quality of spatial memories acquired in individuals with impaired episodic memory in the context of a hippocampal system that did not develop normally. Here we describe a detailed investigation of the integrity of spatial representations of environments navigated repeatedly over many years in the rare case of H.C., a person with congenital absence of the mammillary bodies and abnormal hippocampal and fornix development. H.C. and controls who had extensive experience navigating the residential and downtown areas known to H.C. were tested on mental navigation tasks that assess the identity, location, and spatial relations among landmarks, and the ability to represent routes. H.C. was able to represent distances and directions between familiar landmarks and provide accurate, though inefficient, route descriptions. However, difficulties producing detailed spatial features on maps and accurately ordering more than two landmarks that are in close proximity to one another along a route suggest a spatial representation that includes only coarse, schematic information that lacks coherence and that cannot be used flexibly. This pattern of performance is considered in the context of other areas of preservation and impairment exhibited by H.C. and suggests that the allocentric-egocentric dichotomy with respect to hippocampal and extended hippocampal system function may need to be reconsidered.",Frontiers in human neuroscience,9,,196,10.3389/fnhum.2015.00196
"R. S. Rosenbaum, S. Priselac, S. Kohler, S. E. Black, F. Gao, L. Nadel and M. Moscovitch",2000,Remote spatial memory in an amnesic person with extensive bilateral hippocampal lesions,"The hippocampus may have a time-limited role in memory, being needed only until information is permanently stored elsewhere, or this region may permanently represent long-term allocentric spatial information or cognitive maps in memory. To test these ideas, we investigated remote spatial memory in K.C., a patient with bilateral hippocampal lesions and amnesia for autobiographical events. In his spatial knowledge, general aspects were preserved, but details were lost, a pattern that resembled his memory loss in other domains. K.C. performed normally on allocentric spatial tests of his neighborhood and the world. He had difficulty, however, in recognizing and identifying non-salient neighborhood landmarks, and in recognizing city locations on world maps. This suggests that the hippocampus is not crucial for maintenance and retrieval of remotely formed spatial representations of major landmarks, routes, distances and directions, but is necessary for specifying location details, regardless of when they were acquired.",Nat Neurosci,3,10,1044-1048,10.1038/79867
"R. S. Rosenbaum, G. Winocur, C. L. Grady, M. Ziegler and M. Moscovitch",2007,Memory for familiar environments learned in the remote past: fMRI studies of healthy people and an amnesic person with extensive bilateral hippocampal lesions,"Preserved remote spatial memory in amnesic people with bilateral hippocampal damage, including the well-studied case K.C., challenges spatial theories, which assume that the hippocampus is needed to support all allocentric spatial representations, old or new. It remains possible, however, that residual hippocampal tissue is functional and contributes to successful performance. Here, we examine brain activity with fMRI during the retrieval of spatial information in K.C. and in healthy controls using landmark and route stimuli from a premorbidly familiar neighborhood that K.C. can navigate normally. In all participants, activity was found in the parahippocampal cortex, but not in the hippocampus itself, during all navigational tasks on which K.C. performs well, even though part of his hippocampus remains viable. The opposite pattern was observed on a house recognition task, which is inconsequential to navigation, and on which K.C. performed poorly. On that task, K.C. recruited the right hippocampus presumably because even familiar houses were treated as novel by him, whereas controls recruited occipitotemporal cortex, including parahippocampal cortex. The distinction between recent and remote memory, therefore, may apply as much to spatial theories of hippocampal function as it does to theories emphasizing the role of the hippocampus in other types of explicit memory.",Hippocampus,17,12,1241-1251,10.1002/hipo.20354
