Author(s),Year,Title,Journal,Volume,Issue,Abstract,Pages
"M. C. Silveri, N. Ciccarelli and A. Cappa",2011,Unilateral spatial neglect in degenerative brain pathology,Neuropsychology,25,5,"OBJECTIVE: In an attempt to interpret neglect as a disconnection syndrome, it is currently proposed that the disorder results from disorganization of large-scale networks involved in attentional spatial processes rather than of individual brain areas. We hypothesize that as degenerative brain diseases are ""system pathologies,"" degeneration could be restricted to some of the neural subsystems implicated in the functional organization of spatial attention and different neglect syndromes could emerge depending on the patterns of the subsystems involved. METHOD: We studied five neglect patients: one with corticobasal degeneration (CBD), three with Posterior Cortical Atrophy (PCA) and one with frontotemporal dementia (FTD). RESULTS: The patient with CBD and left parietoccipital atrophy showed right allocentric neglect; the three patients with PCA mostly distributed in the right posterior regions showed left egocentric extrapersonal neglect; the patient with FTD, who displayed more severe frontotemporal atrophy on the right, had left motor-executive neglect for both personal and extrapersonal space. All patients also presented a deep breakdown of spatial working memory. CONCLUSION: Our data would confirm that left neglect is more frequent than right neglect also in degenerative pathology and that damage to different neural substrates can produce different types of neglect. Our findings are also consistent with the hypothesis that both lateralized and nonlateralized attention disorders contribute to generate the syndrome. We suggest that evidence from degenerative diseases may contribute to construction of models of spatial attention.",554-566
"J. A. Silvers, A. D. Hubbard, S. Chaudhury, E. Biggs, J. Shu, M. F. Grunebaum, E. Fertuck, J. Weber, H. Kober, A. Carson-Wong, B. S. Brodsky, M. Chesin, K. N. Ochsner and B. Stanley",2016,Suicide attempters with Borderline Personality Disorder show differential orbitofrontal and parietal recruitment when reflecting on aversive memories,Journal of psychiatric research,81,,"Suicidal behavior and difficulty regulating emotions are hallmarks of Borderline Personality Disorder (BPD). This study examined neural links between emotion regulation and suicide risk in BPD. 60 individuals with BPD (all female, mean age = 28.9 years), 46 of whom had attempted suicide, completed a fMRI task involving recalling aversive personal memories. Distance trials assessed the ability to regulate emotion by recalling memories from a third-person, objective viewpoint. Immerse trials assessed emotional reactivity and involved recalling memories from a first-person perspective. Behaviorally, both groups reported less negative affect on Distance as compared to Immerse trials. Neurally, two sets of findings were obtained. The first reflected differences between attempters and non-attempters. When immersing and distancing, attempters showed elevated recruitment of lateral orbitofrontal cortex, a brain region implicated in using negative cues to guide behavior. When distancing, attempters showed diminished recruitment of the precuneus, a region implicated in memory recall and perspective taking. The second set of findings related to individual differences in regulation success - the degree to which individuals used distancing to reduce negative affect. Here, we observed that attempters who successfully regulated exhibited precuneus recruitment that was more similar to non-attempters. These data provide insight into mechanisms underlying suicide attempts in BPD. Future work may examine if these findings generalize to other diagnoses and also whether prior findings in BPD differ across attempters and non-attempters.",71-78
"J. J. Skowronski, C. Sedikides, W. Xie and X. Zhou",2015,Changing the working self alters the emotions prompted by recall,"Memory (Hove, England)",23,2,"Results from three studies indicated that emotional responses to memories can be changed by altering the working self. In particular, these results showed that emotional reactions to memories: (1) were especially positive when memories were perceived to be central to the working self (Experiment 1); (2) were muted when the working self was changed by adopting a third-person perspective during recall (Experiment 1); (3) of an event in the life of each participant's mother weakened when an individual was induced to experience a self that felt less close to their mother (Experiment 2) and (4) of a childhood event provoked especially positive emotional reactions after exposure to a mortality salience manipulation that increased perceived self-worth (Experiment 3). The extent to which mother was included in the self (Experiment 2) and self-worth (Experiment 3) plausibly mediated the effects of the manipulations on participants' emotional reactions to recalled events.",254-267
"K. V. Smith, N. Burgess, C. R. Brewin and J. A. King",2015,Impaired allocentric spatial processing in posttraumatic stress disorder,Neurobiology of Learning and Memory,119,,,69-76
"H. J. Spiers, N. Burgess, T. Hartley, F. Vargha-Khadem and J. O'Keefe",2001,Bilateral hippocampal pathology impairs topographical and episodic memory but not visual pattern matching,Hippocampus,11,6,"A virtual reality environment was used to test memory performance for simulated ""real-world"" spatial and episodic information in a 22-year-old male, Jon, who has selective bilateral hippocampal pathology caused by perinatal anoxia. He was allowed to explore a large-scale virtual reality town and was then tested on his memory for spatial layout and for episodes experienced. Topographical memory was tested by assessing his ability to navigate, recognize previously visited locations, and draw maps of the town. Episodic memory was assessed by testing the retrieval of simulated events which consisted of collecting objects from characters while following a route through the virtual town. Memory for the identity of objects, as well as for where they were collected, from whom, and in what order, was also tested. While the first task tapped simple recognition memory, the latter three tested memory for context. Jon was impaired on all topographical tasks and on his recall of the context-dependent questions. However, his recognition of objects from the virtual town, and of ""topographical"" scenes (as evaluated by standard neuropsychological tests), was not impaired. These findings are consistent with the view that the hippocampus is involved in navigation, recall of long term allocentric spatial information and context-dependent episodic memory, but not visual pattern matching.",715-725
"H. J. Spiers, E. A. Maguire and N. Burgess",2001,Hippocampal amnesia,Neurocase,7,5,,357-382
"P. L. St Jacques, A. C. Carpenter, K. K. Szpunar and D. L. Schacter",2018,Remembering and imagining alternative versions of the personal past,Neuropsychologia,110,,"Although autobiographical memory and episodic simulations recruit similar core brain regions, episodic simulations engage additional neural recruitment in the frontoparietal control network due to greater demands on constructive processes. However, previous functional neuroimaging studies showing differences in remembering and episodic simulation have focused on veridical retrieval of past experiences, and thus have not fully considered how retrieving the past in different ways from how it was originally experienced may also place similar demands on constructive processes. Here we examined how alternative versions of the past are constructed when adopting different egocentric perspectives during autobiographical memory retrieval compared to simulating hypothetical events from the personal past that could have occurred, or episodic counterfactual thinking. Participants were asked to generate titles for specific autobiographical memories from the last five years, and then, during functional magnetic resonance (fMRI) scanning, were asked to repeatedly retrieve autobiographical memories or imagine counterfactual events cued by the titles. We used an fMRI adaptation paradigm in order to isolate neural regions that were sensitive to adopting alternative egocentric perspectives and counterfactual simulations of the personal past. The fMRI results revealed that voxels within left posterior inferior parietal and ventrolateral frontal cortices were sensitive to novel visual perspectives and counterfactual simulations. Our findings suggest that the neural regions supporting remembering become more similar to those underlying episodic simulation when we adopt alternative egocentric perspectives of the veridical past.",170-179
"P. L. St Jacques, M. A. Conway, M. W. Lowder and R. Cabeza",2011,Watching my mind unfold versus yours: an fMRI study using a novel camera technology to examine neural differences in self-projection of self versus other perspectives,J Cogn Neurosci,23,6,"Self-projection, the capacity to re-experience the personal past and to mentally infer another person's perspective, has been linked to medial prefrontal cortex (mPFC). In particular, ventral mPFC is associated with inferences about one's own self, whereas dorsal mPFC is associated with inferences about another individual. In the present fMRI study, we examined self-projection using a novel camera technology, which employs a sensor and timer to automatically take hundreds of photographs when worn, in order to create dynamic visuospatial cues taken from a first-person perspective. This allowed us to ask participants to self-project into the personal past or into the life of another person. We predicted that self-projection to the personal past would elicit greater activity in ventral mPFC, whereas self-projection of another perspective would rely on dorsal mPFC. There were three main findings supporting this prediction. First, we found that self-projection to the personal past recruited greater ventral mPFC, whereas observing another person's perspective recruited dorsal mPFC. Second, activity in ventral versus dorsal mPFC was sensitive to parametric modulation on each trial by the ability to relive the personal past or to understand another's perspective, respectively. Third, task-related functional connectivity analysis revealed that ventral mPFC contributed to the medial temporal lobe network linked to memory processes, whereas dorsal mPFC contributed to the fronto-parietal network linked to controlled processes. In sum, these results suggest that ventral-dorsal subregions of the anterior midline are functionally dissociable and may differentially contribute to self-projection of self versus other.",1275-1284
"A. Staniloiu, S. Borsutzky, F. G. Woermann and H. J. Markowitsch",2013,Social cognition in a case of amnesia with neurodevelopmental mechanisms,Frontiers in Psychology,4,,"Episodic–autobiographical memory (EAM) is considered to emerge gradually in concert with the development of other cognitive abilities (such as executive functions, personal semantic knowledge, emotional knowledge, theory of mind (ToM) functions, language, and working memory). On the brain level its emergence is accompanied by structural and functional reorganization of different components of the so-called EAM network. This network includes the hippocampal formation, which is viewed as being vital for the acquisition of memories of personal events for long-term storage. Developmental studies have emphasized socio-cultural-linguistic mechanisms that may be unique to the development of EAM. Furthermore it was hypothesized that one of the main functions of EAM is the social one. In the research field, the link between EAM and social cognition remains however debated. Herein we aim to bring new insights into the relation between EAM and social information processing (including social cognition) by describing a young adult patient with amnesia with neurodevelopmental mechanisms due to perinatal complications accompanied by hypoxia. The patient was investigated medically, psychiatrically, and with neuropsychological and neuroimaging methods. Structural high resolution magnetic resonance imaging revealed significant bilateral hippocampal atrophy as well as indices for degeneration in the amygdalae, basal ganglia, and thalamus, when a less conservative threshold was applied. In addition to extensive memory investigations and testing other (non-social) cognitive functions, we employed a broad range of tests that assessed social information processing (social perception, social cognition, social regulation). Our results point to both preserved (empathy, core ToM functions, visual affect selection, and discrimination, affective prosody discrimination) and impaired domains of social information processing (incongruent affective prosody processing, complex social judgments). They support proposals for a role of the hippocampal formation in processing more complex social information that likely requires multimodal relational handling. (PsycINFO Database Record (c) 2018 APA, all rights reserved) (Source: journal abstract)",28
"D. T. Stuss, G. G. Gallup and M. P. Alexander",2001,The frontal lobes are necessary for 'theory of mind',Brain,124,,,279-286
A. R. Sutin,2009,Visual perspective and genetics: A commentary on Lemogne and colleagues,Consciousness and Cognition: An International Journal,18,3,"Lemogne and colleagues (see record 2009-13155-030) offer an interesting extension to their previous work on visual perspective and depression: Individuals at-risk for depression (defined as higher scores on Harm Avoidance), without a history of mood disorders, report retrieval of positive memories from the 3rd person perspective. Their findings suggest that the retrieval of positive experiences from the 3rd person perspective may be a risk-factor for depression, not just a lingering consequence of it. Their study, however, also reports a genetic association in a severely underpowered sample. Rather than focusing on gene x environment interactions, which large, well-powered studies on related phenotypes have failed to detect, a greater understanding of the phenomenology of visual perspective may be a more fruitful avenue for future research. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",831-833
A. R. Sutin and R. W. Robins,2007,Phenomenology of autobiographical memories: The Memory Experiences Questionnaire,Memory,15,4,"The phenomenology of autobiographical memories varies on a number of dimensions: some memories are vivid and others dim; some are emotionally intense and others lack emotional content. The present research sought to develop a psychometrically-sound scale to assess the entire range of dimensions on which autobiographical memories differ. We reviewed the literature on memory experiences and identified 10 relevant dimensions: Vividness, Coherence, Accessibility, Time Perspective, Sensory Details, Visual Perspective, Emotional Intensity, Sharing, Distancing, and Valence. We constructed a comprehensive item pool to assess these dimensions and, using data from several large samples ( Ns = 941; 510; 212), we showed that: (a) all 10 scales had adequate reliability (median alpha = .87; range = .72 to .97), (b) the 10-factor structure provided a good fit to the data, and (c) gender, personality, and memory recency had theoretically meaningful relations with the 10 scales. For example, gender and ethnicity differences in phenomenology were mediated by memory content, and early and recent memories had distinct phenomenologies. The discussion focuses on the theoretical and practical utility of the 10 scales. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",390-411
A. R. Sutin and R. W. Robins,2008,"When the ""I"" looks at the ""me"": Autobiographical memory, visual perspective, and the self",Consciousness and Cognition: An International Journal,17,4,"This article presents a theoretical model of the self processes involved in autobiographical memories and proposes competing hypotheses for the role of visual perspective in autobiographical memory retrieval. Autobiographical memories can be retrieved from either the 1st person perspective, in which individuals see the event through their own eyes, or from the 3rd person perspective, in which individuals see themselves and the event from the perspective of an external observer. A growing body of research suggests that the visual perspective from which a memory is retrieved has important implications for a person's thoughts, feelings, and goals, and is integrally related to a host of self-evaluative processes. We review the relevant research literature, present our theoretical model, and outline directions for future research. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",1386-1397
A. R. Sutin and R. W. Robins,2010,Correlates and phenomenology of first and third person memories,"Memory (Hove, England)",18,6,"The present research addressed fundamental questions about the visual perspective of autobiographical memories: Are stable personality characteristics associated with visual perspective? Does visual perspective influence the memory's phenomenological qualities? Participants in Study 1 (N=1684) completed individual-difference measures and indicated the perspective from which they generally retrieve memories. Participants in Study 2 (N=706) retrieved a memory from their natural or manipulated perspective, rated its phenomenology, and completed the same individual-difference measures. Dissociation and anxiety were associated with third person retrieval style; the Big Five personality traits were primarily unrelated to perspective. Compared to third person memories, naturally occurring first person memories were higher on Vividness, Coherence, Accessibility, Sensory Detail, Emotional Intensity, and Time Perspective, and lower on Distancing; manipulating perspective eliminated these differences. Visual perspective is associated with clinically relevant constructs and, although associated with the memory's phenomenology, perspective does not shape it.",625-637
J. Sutton,2010,Observer perspective and acentred memory: some puzzles about point of view in personal memory,Philosophical Studies,148,1,,27-37
"J. Talarico, D. Berntsen and D. Rubin",2009,Positive emotions enhance recall of peripheral details,Cognition & Emotion,23,2,"Emotional arousal and negative affect enhance recall of central aspects of an event. However, the role of discrete emotions in selective memory processing is understudied. Undergraduates were asked to recall and rate autobiographical memories of eight emotional events. Details of each memory were rated as central or peripheral to the event. Significance of the event, vividness, reliving and other aspects of remembering were also rated for each event. Positive affect enhanced recall of peripheral details. Furthermore, the impairment of peripheral recall was greatest in memories of anger, not of fear. Reliving the experience at retrieval was negatively correlated with recall of peripheral details for some emotions (e.g., anger) but not others (e.g., fear), irrespective of similarities in affect and intensity. Within individuals, recall of peripheral details was correlated with less belief in the memory's accuracy and more likelihood to recall the memory from one's own eyes (i.e., a field perspective).",380-398
"M. Tops, M. A. Boksem, M. Quirin, I. J. H and S. L. Koole",2014,Internally directed cognition and mindfulness: an integrative perspective derived from predictive and reactive control systems theory,Front Psychol,5,,"In the present paper, we will apply the predictive and reactive control systems (PARCS) theory as a framework that integrates competing theories of neural substrates of awareness by describing the ""default mode network"" (DMN) and anterior insula (AI) as parts of two different behavioral and homeostatic control systems. The DMN, a network that becomes active at rest when there is no external stimulation or task to perform, has been implicated in self-reflective awareness and prospection. By contrast, the AI is associated with awareness and task-related attention. This has led to competing theories stressing the role of the DMN in self-awareness vs. the role of interoceptive and emotional information integration in the AI in awareness of the emotional moment. In PARCS, the respective functions of the DMN and AI in a specific control system explains their association with different qualities of awareness, and how mental states can shift from one state (e.g., prospective self-reflection) to the other (e.g., awareness of the emotional moment) depending on the relative dominance of control systems. These shifts between reactive and predictive control are part of processes that enable the intake of novel information, integration of this novel information within existing knowledge structures, and the creation of a continuous personal context in which novel information can be integrated and understood. As such, PARCS can explain key characteristics of mental states, such as their temporal and spatial focus (e.g., a focus on the here and now vs. the future; a first person vs. a third person perspective). PARCS further relates mental states to brain states and functions, such as activation of the DMN or hemispheric asymmetry in frontal cortical functions. Together, PARCS deepens the understanding of a broad range of mental states, including mindfulness, mind wandering, rumination, autobiographical memory, imagery, and the experience of self.",429
"M. Tops, M. A. S. Boksem, M. Quirin, H. Ijzerman and S. L. Koole",2014,Internally directed cognition and mindfulness: An integrative perspective derived from predictive and reactive control systems theory,Frontiers in Psychology,5,,"In the present paper, we will apply the predictive and reactive control systems (PARCS) theory as a framework that integrates competing theories of neural substrates of awareness by describing the “default mode network” (DMN) and anterior insula (AI) as parts of two different behavioral and homeostatic control systems. The DMN, a network that becomes active at rest when there is no external stimulation or task to perform, has been implicated in self-reflective awareness and prospection. By contrast, the AI is associated with awareness and task-related attention. This has led to competing theories stressing the role of the DMN in self-awareness vs. the role of interoceptive and emotional information integration in the AI in awareness of the emotional moment. In PARCS, the respective functions of the DMN and AI in a specific control system explains their association with different qualities of awareness, and how mental states can shift from one state (e.g., prospective self-reflection) to the other (e.g., awareness of the emotional moment) depending on the relative dominance of control systems. These shifts between reactive and predictive control are part of processes that enable the intake of novel information, integration of this novel information within existing knowledge structures, and the creation of a continuous personal context in which novel information can be integrated and understood. As such, PARCS can explain key characteristics of mental states, such as their temporal and spatial focus (e.g., a focus on the here and now vs. the future; a first person vs. a third person perspective). PARCS further relates mental states to brain states and functions, such as activation of the DMN or hemispheric asymmetry in frontal cortical functions. Together, PARCS deepens the understanding of a broad range of mental states, including mindfulness, mind wandering, rumination, autobiographical memory, imagery, and the experience of self. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",21
"E. L. Townsend, J. L. Richmond, V. K. Vogel-Farley and K. Thomas",2010,Medial temporal lobe memory in childhood: developmental transitions,Developmental Science,13,5,,738-751
"T. Tsukiura, Y. Otsuka, R. Miura, K. Suzuki, A. Yamadori and T. Fujii",2000,"Remote memory for items, contents, and contexts: A case study for post-traumatic amnesia",Brain and Cognition,44,1,"Examined remote memory in a 45 yr old patient with posttraumatic amnesia to propose a new framework for understanding retrograde amnesia. In special assessment for public events, the patient showed preserved verbal recognition of items and contents of past events, and impaired verbal recall of contents of events. This pattern was not observed in autobiographical memory, in which his performance was perfect. In time estimation of past events, the patient showed a temporally graded impairment for public events in both conditions of allocentric and egocentric temporal judgment, but for autobiographical memory in only the former condition. These two patterns of dissociation suggest that the impairment in recall of public events may be related to disturbed retrieval strategy using the allocentric temporal context information about past public events. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",98-103
"S. C. Tu, H. J. Spiers, J. R. Hodges, O. Piguet and M. Hornberger",2017,Egocentric versus Allocentric Spatial Memory in Behavioral Variant Frontotemporal Dementia and Alzheimer's Disease,Journal of Alzheimers Disease,59,3,,883-892
"S. C. Tu, S. Wong, J. R. Hodges, M. Irish, O. Piguet and M. Hornberger",2015,Lost in spatial translation - A novel tool to objectively assess spatial disorientation in Alzheimer's disease and frontotemporal dementia,Cortex,67,,,83-94
A. K. Uskul and M. Kikutani,2014,Concerns about losing face moderate the effect of visual perspective on health-related intentions and behaviors,Journal of Experimental Social Psychology,55,,,201-209
"G. Valenti, L. K. Libby and R. P. Eibach",2011,Looking back with regret: Visual perspective in memory images differentially affects regret for actions and inactions,Journal of Experimental Social Psychology,47,4,"People can regret things they've done and things they've failed to do. However, the experience of a regrettable action tends to be painful, while regrettable inactions tend to be painful only when one considers the inaction's impact in the broader context of one's life as a whole (Gilovich & Medvec, 1995). Three experiments manipulated the visual perspective (own first-person vs. observer's third-person) that participants used to picture regretted actions or inactions from their lives. Imagery perspective influences the degree to which people's understanding of events is determined by features of the event itself (first-person) or by the integration of the event with broader self-knowledge (third-person) (Libby & Eibach, in press-b). As predicted, relative to first-person imagery, third-person imagery reduced regret for actions but increased regret for inactions. Results provide new insight into the relationship between imagery perspective, meaning-making, and emotion, and suggest ways to strategically increase or decrease regret. (PsycINFO Database Record (c) 2017 APA, all rights reserved) (Source: journal abstract)",730-737
G. Vallar and E. Calzolari,2018,Unilateral spatial neglect after posterior parietal damage,Handb Clin Neurol,151,,"Unilateral spatial neglect is a disabling neurologic deficit, most frequent and severe after right-hemispheric lesions. In most patients neglect involves the left side of space, contralateral to a right-hemispheric lesion. About 50% of stroke patients exhibit neglect in the acute phase. Patients fail to orient, respond to, and report sensory events occurring in the contralateral sides of space and of the body, to explore these portions of space through movements by action effectors (eye, limbs), and to move the contralateral limbs. Neglect is a multicomponent higher-level disorder of spatial awareness, cognition, and attention. Spatial neglect may occur independently of elementary sensory and motor neurologic deficits, but it can mimic and make them more severe. Diagnostic tests include: motor exploratory target cancellation; setting the midpoint of a horizontal line (bisection), that requires the estimation of lateral extent; drawing by copy and from memory; reading, assessing neglect dyslexia; and exploring the side of the body contralateral to the lesion. Activities of daily living scales are also used. Patients are typically not aware of neglect, although they may exhibit varying degrees of awareness toward different components of the deficit. The neural correlates include lesions to the inferior parietal lobule of the posterior parietal cortex, which was long considered the unique neuropathologic correlate of neglect, to the premotor and to the dorsolateral prefrontal cortices, to the posterior superior temporal gyrus, at the temporoparietal junction, to subcortical gray nuclei (thalamus, basal ganglia), and to parietofrontal white-matter fiber tracts, such as the superior longitudinal fascicle. Damage to the inferior parietal lobule of the posterior parietal cortex is specifically associated with the mainly egocentric, perceptual, and exploratory extrapersonal, and with the personal, bodily components of neglect. Productive manifestations, such as perseveration, are not a correlate of posterior parietal cortex damage.",287-312
"M. van Assche, V. Kebets, P. Vuilleumier and F. Assal",2016,Functional Dissociations Within Posterior Parietal Cortex During Scene Integration and Viewpoint Changes,Cerebral Cortex,26,2,,586-598
"K. Van den Broeck, J. Reza, S. Nelis, L. Claes, G. Pieters and F. Raes",2014,The relationship between borderline symptoms and vantage perspective during autobiographical memory retrieval in a community sample,Borderline personality disorder and emotion dysregulation,1,,"BACKGROUNDRecent findings show that (previously) depressed and traumatised patients, compared to controls, make more frequently use of an observer perspective (as set against a field perspective) when retrieving memories. Because patients with borderline personality disorder (BPD) often report mood disturbances and past traumatic experiences, it would be plausible to expect that these patients too would retrieve higher proportions of observer memories. Therefore, and given the phenotypical variance of BPD, we examined whether vantage perspective during recall is associated with one or more BPD symptom clusters.METHODSA community sample consisting of 148 volunteers (66 males) completed the Autobiographical Memory Test, the Borderline Syndrome Index, and the Depression Scale of the Depression Anxiety Stress Scales.RESULTSInterpersonal and anxious-neurotic BPD features were associated with higher proportions of observer memories.CONCLUSIONSThe proportion of observer memories was not associated with the total number of BPD symptoms. Nevertheless, our data suggest the existence of substantial connections between perspective taking during recall on the one hand and interpersonal difficulties and anxious-neurotic symptoms on the other hand, especially following cues that tap into domains that are highly discrepant towards one's actual self-concept.",8
S. D. Vann,2009,Guddens ventral tegmental nucleus is vital for memory: re-evaluating diencephalic inputs for amnesia,Brain,132,,,2372-2384
S. D. Vann,2011,A role for the head-direction system in geometric learning,Behavioural Brain Research,224,1,"Several recent models of episodic memory have highlighted a potential contribution from the head-direction system; there is, however, surprisingly little known about the behavioural effects of selective lesions within the head-direction system. To address this issue, and determine what aspects of spatial memory are dependent on the head-direction system, rats with selective lateral mammillary body lesions were tested on tasks that required the use of specific spatial cues, including direction, visual allocentric, and geometric cues. Animals were first tested on a modified version of the T-maze alternation task that enabled the systematic removal of intramaze and visual allocentric cues. Rats were next tested on a geometric task that required the use of the shape of the environment to locate a hidden platform in the water-maze. The lesion rats were impaired on one stage of the T-maze alternation task and on the acquisition of the geometric task; these results are consistent with the head-direction system contributing to the processing of, and/or subsequent use, of visual allocentric and geometric cues. From the pattern of impairments it also appears that, with training, rats with lateral mammillary body lesions are able to recruit other navigational systems or that there is some degree of redundancy within the head-direction system. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",201-206
N. A. Vasquez and R. Buehler,2007,Seeing future success: Does imagery perspective influence achievement motivation?,Personality and Social Psychology Bulletin,33,10,,1392-1405
N. C. Vella and M. L. Moulds,2014,The impact of shifting vantage perspective when recalling and imagining positive events,Memory,22,3,,256-264
"P. Verhaeghen, S. N. Aikman, S. Doyle-Portillo, C. R. Bell and N. Simmons",2018,"When I saw me standing there: first-person and third-person memories and future projections, and how they relate to the self",Journal of Cognitive Psychology,30,4,,438-452
"R. P. Vetreno, S. J. Anzalone and L. M. Savage",2008,"Impaired, spared, and enhanced ACh efflux across the hippocampus and striatum in diencephalic amnesia is dependent on task demands",Neurobiology of Learning and Memory,90,1,,237-244
"K. Vogeley, M. May, A. Ritzl, P. Falkai, K. Zilles and G. R. Fink",2004,Neural correlates of first-person perspective as one constituent of human self-consciousness,Journal of Cognitive Neuroscience,16,5,,817-827
C. V. Vorhees and M. T. Williams,2014,Assessing spatial learning and memory in rodents,ILAR journal,55,2,"Maneuvering safely through the environment is central to survival of almost all species. The ability to do this depends on learning and remembering locations. This capacity is encoded in the brain by two systems: one using cues outside the organism (distal cues), allocentric navigation, and one using self-movement, internal cues and nearby proximal cues, egocentric navigation. Allocentric navigation involves the hippocampus, entorhinal cortex, and surrounding structures; in humans this system encodes allocentric, semantic, and episodic memory. This form of memory is assessed in laboratory animals in many ways, but the dominant form of assessment is the Morris water maze (MWM). Egocentric navigation involves the dorsal striatum and connected structures; in humans this system encodes routes and integrated paths and, when overlearned, becomes procedural memory. In this article, several allocentric assessment methods for rodents are reviewed and compared with the MWM. MWM advantages (little training required, no food deprivation, ease of testing, rapid and reliable learning, insensitivity to differences in body weight and appetite, absence of nonperformers, control methods for proximal cue learning, and performance effects) and disadvantages (concern about stress, perhaps not as sensitive for working memory) are discussed. Evidence-based design improvements and testing methods are reviewed for both rats and mice. Experimental factors that apply generally to spatial navigation and to MWM specifically are considered. It is concluded that, on balance, the MWM has more advantages than disadvantages and compares favorably with other allocentric navigation tasks.",310-332
C. V. Vorhees and M. T. Williams,2014,Value of water mazes for assessing spatial and egocentric learning and memory in rodent basic research and regulatory studies,Neurotoxicol Teratol,45,,"Maneuvering safely through the environment is central to survival of all animals. The ability to do this depends on learning and remembering locations. This capacity is encoded in the brain by two systems: one using cues outside the organism (distal cues), allocentric navigation, and one using self-movement, internal cues and sometimes proximal cues, egocentric navigation. Allocentric navigation involves the hippocampus, entorhinal cortex, and surrounding structures (e.g., subiculum); in humans this system encodes declarative memory (allocentric, semantic, and episodic, i.e., memory for people, places, things, and events). This form of memory is assessed in laboratory animals by many methods, but predominantly the Morris water maze (MWM). Egocentric navigation involves the dorsal striatum and connected structures; in humans this system encodes routes and integrated paths and when over-learned becomes implicit or procedural memory. Several allocentric methods for rodents are reviewed and compared with the MWM with particular focus on the Cincinnati water maze (CWM). MWM advantages include minimal training, no food deprivation, ease of testing, reliable learning, insensitivity to differences in body weight and appetite, absence of non-performers, control methods for performance effects, repeated testing capability and other factors that make this test well-suited for regulatory studies. MWM limitations are also reviewed. Evidence-based MWM design and testing methods are presented. On balance, the MWM is arguably the preferred test for assessing learning and memory in basic research and regulatory studies and the CWM is recommended if two tests can be accommodated so that both allocentric (MWM) and egocentric (CWM) learning and memory can be effectively and efficiently assessed.",75-90
C. V. Vorhees and M. T. Williams,2015,"Reprint of ""Value of water mazes for assessing spatial and egocentric learning and memory in rodent basic research and regulatory studies""",Neurotoxicol Teratol,52,Pt A,"Maneuvering safely through the environment is central to survival of all animals. The ability to do this depends on learning and remembering locations. This capacity is encoded in the brain by two systems: one using cues outside the organism (distal cues), allocentric navigation, and one using self-movement, internal cues and sometimes proximal cues, egocentric navigation. Allocentric navigation involves the hippocampus, entorhinal cortex, and surrounding structures (e.g., subiculum); in humans this system encodes declarative memory (allocentric, semantic, and episodic, i.e., memory for people, places, things, and events). This form of memory is assessed in laboratory animals by many methods, but predominantly the Morris water maze (MWM). Egocentric navigation involves the dorsal striatum and connected structures; in humans this system encodes routes and integrated paths and when over-learned becomes implicit or procedural memory. Several allocentric methods for rodents are reviewed and compared with the MWM with particular focus on the Cincinnati water maze (CWM). MWM advantages include minimal training, no food deprivation, ease of testing, reliable learning, insensitivity to differences in body weight and appetite, absence of non-performers, control methods for performance effects, repeated testing capability and other factors that make this test well-suited for regulatory studies. MWM limitations are also reviewed. Evidence-based MWM design and testing methods are presented. On balance, the MWM is arguably the preferred test for assessing learning and memory in basic research and regulatory studies and the CWM is recommended if two tests can be accommodated so that both allocentric (MWM) and egocentric (CWM) learning and memory can be effectively and efficiently assessed.",93-108
S. M. Wallace-Hadrill and S. K. Kamboj,2016,The Impact of Perspective Change As a Cognitive Reappraisal Strategy on Affect: A Systematic Review,Front Psychol,7,,"The strategic or deliberate adoption of a cognitively distanced, third-person perspective is proposed to adaptively regulate emotions. However, studies of psychological disorders suggest spontaneous adoption of a third-person perspective reflects counter-productive avoidance. Here, we review studies that investigate the deliberate adoption of a third- or first-person vantage perspective and its impact on affect in healthy people, ""sub-clinical"" populations and those with psychological disorders. A systematic search was conducted across four databases. After exclusion criteria were applied, 38 studies were identified that investigated the impact of both imagery and verbal instructions designed to encourage adoption of a third-person perspective on self-reported affect. The identified studies examined a variety of outcomes related to recalling memories, imagining scenarios and mood induction. These were associated with specific negative emotions or mood states (dysphoria/sadness, anxiety, anger), mixed or neutral affect autobiographical memories, and self-conscious affect (e.g., guilt). Engaging a third-person perspective was generally associated with a reduction in the intensity of positive and negative affect. Studies that included measures of semantic change, suggested that this is a key mediator in reduction of affect following perspective change. Strategically adopting a ""distanced,"" third-person perspective is linked to a reduction in affect intensity across valence, but in addition has the potential to introduce new information that regulates emotion via semantic change. Such reappraisal distinguishes deliberate adoption of a distanced perspective from the habitual and/or spontaneous shift in perspective that occurs in psychopathology.",1715
